smoothed_pct_hes_waitlater,smoothed_hes_waitlater_se,sample_size,country,iso_code,gid_0,survey_date
0.487567,0.019352,702.0,Belarus,BLR,BLR,20210210
0.486942,0.013219,1435.0,Belgium,BEL,BEL,20210210
0.488821,0.01297,1503.0,Bolivia,BOL,BOL,20210210
0.361472,0.026095,353.0,Bosnia and Herzegovina,BIH,BIH,20210210
0.536336,0.004372,13048.0,Brazil,BRA,BRA,20210210
0.408845,0.013509,1337.0,Bulgaria,BGR,BGR,20210210
0.592494,0.034249,206.0,Cameroon,CMR,CMR,20210210
0.503394,0.007862,4056.0,Canada,CAN,CAN,20210210
0.540186,0.010751,2159.0,Chile,CHL,CHL,20210210
0.531489,0.007068,5003.0,Colombia,COL,COL,20210210
0.482989,0.021545,541.0,Costa Rica,CRI,CRI,20210210
0.550117,0.032216,245.0,C̫te d'Ivoire,CIV,CIV,20210210
0.410516,0.017892,751.0,Croatia,HRV,HRV,20210210
0.516555,0.010519,2265.0,Czech Republic,CZE,CZE,20210210
0.438085,0.044345,130.0,Democratic Republic of the Congo,COD,COD,20210210
0.443774,0.015982,969.0,Denmark,DNK,DNK,20210210
0.609283,0.017381,794.0,Dominican Republic,DOM,DOM,20210210
0.531281,0.010882,2133.0,Ecuador,ECU,ECU,20210210
0.569658,0.009867,2515.0,Egypt,EGY,EGY,20210210
0.552639,0.016434,924.0,El Salvador,SLV,SLV,20210210
0.434687,0.031096,248.0,Ethiopia,ETH,ETH,20210210
0.58455,0.024552,411.0,Finland,FIN,FIN,20210210
0.490892,0.004801,10856.0,France,FRA,FRA,20210210
0.496632,0.005508,8251.0,Germany,DEU,DEU,20210210
0.588438,0.018062,759.0,Ghana,GHA,GHA,20210210
0.51241,0.011374,1941.0,Greece,GRC,GRC,20210210
0.465308,0.017762,800.0,Guatemala,GTM,GTM,20210210
0.458808,0.049923,107.0,Haiti,HTI,HTI,20210210
0.504662,0.018242,766.0,Honduras,HND,HND,20210210
0.655809,0.020538,549.0,Hong Kong,HKG,HKG,20210210
0.405385,0.009198,2857.0,Hungary,HUN,HUN,20210210
0.478175,0.006037,6842.0,India,IND,IND,20210210
0.501327,0.007792,4131.0,Indonesia,IDN,IDN,20210210
0.50815,0.014312,1250.0,Iraq,IRQ,IRQ,20210210
0.421723,0.019174,654.0,Ireland,IRL,IRL,20210210
0.571435,0.01987,601.0,Israel,ISR,ISR,20210210
0.392539,0.006073,6474.0,Italy,ITA,ITA,20210210
0.521141,0.003173,24837.0,Japan,JPN,JPN,20210210
0.551577,0.018119,750.0,Jordan,JOR,JOR,20210210
0.410574,0.02102,549.0,Kazakhstan,KAZ,KAZ,20210210
0.531539,0.017672,795.0,Kenya,KEN,KEN,20210210
0.53978,0.0366,194.0,Kuwait,KWT,KWT,20210210
0.405805,0.036119,195.0,Kyrgyzstan,KGZ,KGZ,20210210
0.590789,0.02135,524.0,Lebanon,LBN,LBN,20210210
0.5205,0.023631,455.0,Libya,LBY,LBY,20210210
0.589934,0.011318,1899.0,Malaysia,MYS,MYS,20210210
0.459423,0.046993,105.0,Mali,MLI,MLI,20210210
0.499617,0.004416,12831.0,Mexico,MEX,MEX,20210210
0.446617,0.027522,331.0,Moldova,MDA,MDA,20210210
0.523505,0.023103,478.0,Morocco,MAR,MAR,20210210
0.554261,0.02661,355.0,Mozambique,MOZ,MOZ,20210210
0.289891,0.044867,102.0,Myanmar,MMR,MMR,20210210
0.486607,0.020937,578.0,Nepal,NPL,NPL,20210210
