pct_trust_doctors,trust_doctors_se,pct_trust_doctors_unw,trust_doctors_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.513162,0.026382,0.539106,0.026454,358.0,Slovakia,SVK,SVK,20210209
0.479512,0.0396,0.45283,0.039744,159.0,Slovenia,SVN,SVN,20210209
0.599815,0.018905,0.627481,0.019158,655.0,South Africa,ZAF,ZAF,20210209
0.592077,0.023403,0.597727,0.023456,440.0,South Korea,KOR,KOR,20210209
0.778073,0.008709,0.785425,0.008815,2223.0,Spain,ESP,ESP,20210209
0.611308,0.045895,0.669811,0.047571,106.0,Sri Lanka,LKA,LKA,20210209
0.608913,0.046076,0.636364,0.046741,110.0,Sudan,SDN,SDN,20210209
0.598638,0.010573,0.619725,0.010676,2109.0,Sweden,SWE,SWE,20210209
0.515773,0.022076,0.53816,0.022129,511.0,Switzerland,CHE,CHE,20210209
0.676727,0.01195,0.716292,0.012399,1424.0,Taiwan,TWN,TWN,20210209
0.606976,0.014813,0.610138,0.014835,1085.0,Thailand,THA,THA,20210209
0.530624,0.032759,0.565217,0.032979,230.0,Tunisia,TUN,TUN,20210209
0.529312,0.016718,0.53139,0.016722,892.0,Turkey,TUR,TUR,20210209
