smoothed_pct_hes_cost,smoothed_hes_cost_se,sample_size,country,iso_code,gid_0,survey_date
0.114445,0.011349,794.0,Dominican Republic,DOM,DOM,20210210
0.199949,0.008709,2133.0,Ecuador,ECU,ECU,20210210
0.204938,0.008058,2515.0,Egypt,EGY,EGY,20210210
0.182349,0.012763,924.0,El Salvador,SLV,SLV,20210210
0.129066,0.020778,248.0,Ethiopia,ETH,ETH,20210210
0.03372,0.008939,411.0,Finland,FIN,FIN,20210210
0.023189,0.001445,10856.0,France,FRA,FRA,20210210
0.024295,0.001699,8251.0,Germany,DEU,DEU,20210210
0.133079,0.012495,759.0,Ghana,GHA,GHA,20210210
0.031376,0.003971,1941.0,Greece,GRC,GRC,20210210
0.214932,0.014541,800.0,Guatemala,GTM,GTM,20210210
0.109788,0.029938,107.0,Haiti,HTI,HTI,20210210
0.284455,0.016456,766.0,Honduras,HND,HND,20210210
0.064304,0.01063,549.0,Hong Kong,HKG,HKG,20210210
0.033605,0.003392,2857.0,Hungary,HUN,HUN,20210210
0.072894,0.003136,6842.0,India,IND,IND,20210210
0.228633,0.00654,4131.0,Indonesia,IDN,IDN,20210210
0.147153,0.010114,1250.0,Iraq,IRQ,IRQ,20210210
0.03817,0.007349,654.0,Ireland,IRL,IRL,20210210
0.02661,0.006476,601.0,Israel,ISR,ISR,20210210
0.021421,0.001801,6474.0,Italy,ITA,ITA,20210210
0.107249,0.001966,24837.0,Japan,JPN,JPN,20210210
0.052508,0.008405,750.0,Jordan,JOR,JOR,20210210
0.054957,0.009755,549.0,Kazakhstan,KAZ,KAZ,20210210
0.195888,0.014067,795.0,Kenya,KEN,KEN,20210210
0.080442,0.019933,194.0,Kuwait,KWT,KWT,20210210
0.074484,0.019539,195.0,Kyrgyzstan,KGZ,KGZ,20210210
0.116647,0.013981,524.0,Lebanon,LBN,LBN,20210210
0.102969,0.014506,455.0,Libya,LBY,LBY,20210210
0.219699,0.009531,1899.0,Malaysia,MYS,MYS,20210210
0.154079,0.035688,105.0,Mali,MLI,MLI,20210210
0.154162,0.003186,12831.0,Mexico,MEX,MEX,20210210
0.090035,0.015693,331.0,Moldova,MDA,MDA,20210210
0.021615,0.006889,478.0,Morocco,MAR,MAR,20210210
0.139171,0.018547,355.0,Mozambique,MOZ,MOZ,20210210
0.084799,0.027707,102.0,Myanmar,MMR,MMR,20210210
0.089782,0.011899,578.0,Nepal,NPL,NPL,20210210
0.025212,0.003233,2342.0,Netherlands,NLD,NLD,20210210
