,CLI,Flu,Mask,Contact,Finance,Anosmia,Vaccine_acpt,Covid_Vaccine,Trust_fam,Trust_Healthcare,Trust_who,Trust_govt,Trust_politicians,Twodoses,concerned_sideeffects,hesitant_sideeffects,modified_acceptance,access_wash,wash_hands_24h_3to6,wash_hands_24h_7orMore,cmty_covid
185,0.007846,0.008994,0.963119,0.403088,0.411627,0.014896,,,,,,,,,,,,0.996612,0.361322,0.584931,0.173834
186,0.007718,0.009007,0.962862,0.400977,0.412276,0.014782,,,,,,,,,,,,0.99678,0.359993,0.585204,0.177915
187,0.007556,0.009011,0.961527,0.398378,0.412674,0.0156,,,,,,,,,,,,0.996956,0.361632,0.584213,0.183082
188,0.007565,0.008816,0.96062,0.396705,0.409892,0.016098,,,,,,,,,,,,0.996875,0.359351,0.585828,0.189676
189,0.007916,0.009107,0.960345,0.394341,0.40391,0.016956,,,,,,,,,,,,0.997073,0.36107,0.582916,0.194478
190,0.007421,0.008692,0.960355,0.389829,0.402015,0.017381,,,,,,,,,,,,0.997341,0.363075,0.579864,0.198323
191,0.007339,0.008484,0.958125,0.381474,0.397396,0.017777,,,,,,,,,,,,0.998084,0.367759,0.576057,0.202312
192,0.00803,0.009125,0.957138,0.373486,0.395478,0.019655,,,,,,,,,,,,0.997293,0.369214,0.574135,0.206583
193,0.008213,0.00924,0.955942,0.36557,0.394621,0.020341,,,,,,,,,,,,0.9967,0.369091,0.574706,0.207239
194,0.008109,0.009022,0.95583,0.360668,0.392528,0.020929,,,,,,,,,,,,0.995802,0.367023,0.576327,0.210645
195,0.00844,0.009353,0.95548,0.355517,0.390286,0.020629,,,,,,,,,,,,0.99573,0.369322,0.573976,0.211341
196,0.008357,0.009334,0.953816,0.346605,0.394067,0.020692,,,,,,,,,,,,0.995418,0.368415,0.57514,0.213095
197,0.007712,0.008713,0.952261,0.344113,0.393593,0.021116,,,,,,,,,,,,0.995441,0.364551,0.579727,0.212391
198,0.008566,0.009663,0.950569,0.340812,0.39523,0.021627,,,,,,,,,,,,0.995133,0.364291,0.577154,0.218275
199,0.008509,0.009402,0.950596,0.336558,0.393989,0.020664,,,,,,,,,,,,0.995748,0.364723,0.576762,0.220248
200,0.008404,0.009373,0.949073,0.330406,0.389311,0.021388,,,,,,,,,,,,0.995994,0.364436,0.575325,0.219863
201,0.008739,0.009459,0.949135,0.329858,0.384163,0.022914,,,,,,,,,,,,0.996767,0.368295,0.570612,0.224188
202,0.008654,0.009342,0.946456,0.327152,0.384284,0.023185,,,,,,,,,,,,0.996518,0.365699,0.570836,0.229741
203,0.00907,0.009436,0.942819,0.323679,0.380932,0.02286,,,,,,,,,,,,0.99659,0.36703,0.566234,0.229311
204,0.009688,0.010058,0.940569,0.321011,0.378718,0.023415,,,,,,,,,,,,0.996046,0.368069,0.564417,0.233763
205,0.008407,0.008809,0.939562,0.320683,0.374016,0.023109,,,,,,,,,,,,0.995716,0.366123,0.566108,0.228901
206,0.008257,0.00875,0.936966,0.317663,0.37364,0.022544,,,,,,,,,,,,0.995391,0.364041,0.566272,0.227726
207,0.008601,0.009139,0.935498,0.316203,0.374818,0.022461,,,,,,,,,,,,0.995629,0.367616,0.563151,0.229309
208,0.008348,0.008925,0.934121,0.313929,0.375771,0.022403,,,,,,,,,,,,0.995096,0.369651,0.560613,0.224655
209,0.007613,0.008139,0.934717,0.312527,0.373789,0.021825,,,,,,,,,,,,0.995529,0.369657,0.560905,0.220625
210,0.007276,0.008058,0.93589,0.315589,0.372014,0.021338,,,,,,,,,,,,0.995707,0.371514,0.560315,0.219522
211,0.006784,0.007593,0.937305,0.315612,0.370225,0.021056,,,,,,,,,,,,0.996252,0.372554,0.558658,0.215123
212,0.006906,0.007632,0.938078,0.316499,0.371789,0.021054,,,,,,,,,,,,0.996656,0.374463,0.555862,0.212792
213,0.006637,0.007449,0.940112,0.32149,0.371007,0.020946,,,,,,,,,,,,0.996941,0.374777,0.555405,0.210545
214,0.006179,0.006943,0.941084,0.323846,0.37131,0.020557,,,,,,,,,,,,0.997011,0.371587,0.558414,0.20547
